mean_value,best,tpgr,measure,collection,user_model,encoder,model
0.209052603881974,0,0,AP,trec-robust-2004,nearrandom,tasb,vprf20
0.228163855247415,0,0,AP,trec-robust-2004,nearrandom,tasb,ClickLogsWeightedMax
0.275276518955826,1,1,AP,trec-robust-2004,nearrandom,tasb,ClickLogsLinearModel
0.230936448475441,0,0,AP,trec-robust-2004,nearrandom,tasb,LLM
0.208285456033138,0,0,AP,trec-robust-2004,nearrandom,tasb,ClickLogsWeightedMean
0.219479320434629,0,0,AP,trec-robust-2004,nearrandom,tasb,ClickLogsMean
0.208285438165119,0,0,AP,trec-robust-2004,nearrandom,tasb,nodime
0.260331243479257,0,0,AP,trec-robust-2004,perfect,contriever,LLM
0.363655757363544,0,1,AP,trec-robust-2004,perfect,contriever,ClickLogsCorrelation
0.255469431178363,0,0,AP,trec-robust-2004,perfect,contriever,ClickLogsMean
0.2532695439497,0,0,AP,trec-robust-2004,perfect,contriever,vprf5
0.364410555148493,1,1,AP,trec-robust-2004,perfect,contriever,ClickLogsLinearModel
0.338620904505684,0,0,AP,trec-robust-2004,perfect,contriever,corocchio
0.24754211442768,0,0,AP,trec-robust-2004,perfect,contriever,vprf20
0.23476845891428,0,0,AP,trec-robust-2004,perfect,contriever,nodime
0.23476845891428,0,0,AP,trec-robust-2004,perfect,contriever,ClickLogsWeightedMean
0.246615338675616,0,0,AP,trec-robust-2004,perfect,contriever,ClickLogsWeightedMax
0.230074521685248,0,0,AP,trec-robust-2004,perfect,dragon,ClickLogsWeightedMax
0.233633152599081,0,0,AP,trec-robust-2004,perfect,dragon,LLM
0.339168303375351,0,1,AP,trec-robust-2004,perfect,dragon,ClickLogsCorrelation
0.223191700461258,0,0,AP,trec-robust-2004,perfect,dragon,ClickLogsWeightedMean
0.233068907486458,0,0,AP,trec-robust-2004,perfect,dragon,vprf5
0.228827091416255,0,0,AP,trec-robust-2004,perfect,dragon,vprf20
0.223191700461258,0,0,AP,trec-robust-2004,perfect,dragon,ClickLogsMean
0.353393697690902,1,1,AP,trec-robust-2004,perfect,dragon,ClickLogsLinearModel
0.31075805401427,0,0,AP,trec-robust-2004,perfect,dragon,corocchio
0.223191700461258,0,0,AP,trec-robust-2004,perfect,dragon,nodime
0.304463078824907,0,0,AP,trec-robust-2004,perfect,tasb,corocchio
0.23237561402832,0,0,AP,trec-robust-2004,perfect,tasb,vprf5
0.315926009084337,0,1,AP,trec-robust-2004,perfect,tasb,ClickLogsCorrelation
0.209052603881974,0,0,AP,trec-robust-2004,perfect,tasb,vprf20
0.225566385431419,0,0,AP,trec-robust-2004,perfect,tasb,ClickLogsWeightedMax
0.328416968276731,1,1,AP,trec-robust-2004,perfect,tasb,ClickLogsLinearModel
0.230936448475441,0,0,AP,trec-robust-2004,perfect,tasb,LLM
0.208285456033138,0,0,AP,trec-robust-2004,perfect,tasb,ClickLogsWeightedMean
0.219479320434629,0,0,AP,trec-robust-2004,perfect,tasb,ClickLogsMean
0.208285438165119,0,0,AP,trec-robust-2004,perfect,tasb,nodime
0.827780642629537,0,1,nDCG@10,trec-dl-2019,binarized,contriever,ClickLogsCorrelation
0.741741523752603,0,0,nDCG@10,trec-dl-2019,binarized,contriever,LLM
0.663853056726245,0,0,nDCG@10,trec-dl-2019,binarized,contriever,vprf5
0.829240748509333,1,1,nDCG@10,trec-dl-2019,binarized,contriever,ClickLogsLinearModel
0.747472608091671,0,0,nDCG@10,trec-dl-2019,binarized,contriever,ClickLogsWeightedMean
0.668261821569754,0,0,nDCG@10,trec-dl-2019,binarized,contriever,ClickLogsMean
0.765504055036884,0,1,nDCG@10,trec-dl-2019,binarized,contriever,corocchio
0.636467511472961,0,0,nDCG@10,trec-dl-2019,binarized,contriever,vprf20
0.759959970421612,0,1,nDCG@10,trec-dl-2019,binarized,contriever,ClickLogsWeightedMax
0.674441871824657,0,0,nDCG@10,trec-dl-2019,binarized,contriever,nodime
0.750727896801958,0,0,nDCG@10,trec-dl-2019,binarized,dragon,ClickLogsWeightedMax
0.780341092238798,0,0,nDCG@10,trec-dl-2019,binarized,dragon,ClickLogsWeightedMean
0.767144186861204,0,0,nDCG@10,trec-dl-2019,binarized,dragon,LLM
0.854054862447407,0,1,nDCG@10,trec-dl-2019,binarized,dragon,ClickLogsLinearModel
0.823796350869715,0,1,nDCG@10,trec-dl-2019,binarized,dragon,corocchio
0.854223791464143,1,1,nDCG@10,trec-dl-2019,binarized,dragon,ClickLogsCorrelation
0.751515992938473,0,0,nDCG@10,trec-dl-2019,binarized,dragon,vprf5
0.73214903072557,0,0,nDCG@10,trec-dl-2019,binarized,dragon,vprf20
0.739765689904773,0,0,nDCG@10,trec-dl-2019,binarized,dragon,ClickLogsMean
0.739765689904773,0,0,nDCG@10,trec-dl-2019,binarized,dragon,nodime
0.835171312176316,0,1,nDCG@10,trec-dl-2019,binarized,tasb,ClickLogsCorrelation
0.838950552079312,1,1,nDCG@10,trec-dl-2019,binarized,tasb,ClickLogsLinearModel
0.7174618871471,0,0,nDCG@10,trec-dl-2019,binarized,tasb,nodime
0.7174618871471,0,0,nDCG@10,trec-dl-2019,binarized,tasb,ClickLogsMean
0.773908407774184,0,1,nDCG@10,trec-dl-2019,binarized,tasb,ClickLogsWeightedMax
0.748712836111232,0,0,nDCG@10,trec-dl-2019,binarized,tasb,ClickLogsWeightedMean
0.667127401291409,0,0,nDCG@10,trec-dl-2019,binarized,tasb,vprf20
0.780301608205304,0,1,nDCG@10,trec-dl-2019,binarized,tasb,corocchio
0.720981763587959,0,0,nDCG@10,trec-dl-2019,binarized,tasb,vprf5
0.749345669635241,0,0,nDCG@10,trec-dl-2019,binarized,tasb,LLM
0.809940459382723,1,1,nDCG@10,trec-dl-2019,nearrandom,contriever,ClickLogsCorrelation
0.741741523752603,0,1,nDCG@10,trec-dl-2019,nearrandom,contriever,LLM
0.663853056726245,0,0,nDCG@10,trec-dl-2019,nearrandom,contriever,vprf5
0.809464817138794,0,1,nDCG@10,trec-dl-2019,nearrandom,contriever,ClickLogsLinearModel
